127.0.0.1 - - [19/Aug/2016:09:51:35 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Aug/2016:09:51:53 +0900] "GET /railro/WEB-INF/views/index.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Aug/2016:09:51:58 +0900] "GET /railro HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2016:09:52:00 +0900] "GET /railro/ HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [19/Aug/2016:09:52:00 +0900] "GET /railro/css/index.css HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [19/Aug/2016:09:52:00 +0900] "GET /railro/js/nav.js HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [19/Aug/2016:09:52:00 +0900] "GET /railro/css/layout.css HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [19/Aug/2016:09:52:00 +0900] "GET /railro/css/reset.css HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [19/Aug/2016:09:52:02 +0900] "GET /railro HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2016:09:52:02 +0900] "GET /railro/images/top_img.png HTTP/1.1" 200 799745
0:0:0:0:0:0:0:1 - - [19/Aug/2016:09:52:06 +0900] "GET /railro/ HTTP/1.1" 200 1815
