127.0.0.1 - - [17/Aug/2016:15:41:05 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:41:06 +0900] "GET /railro/WEB-INF/views/index.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:41:10 +0900] "GET /railro HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:41:12 +0900] "GET /railro/ HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:41:12 +0900] "GET /railro/css/index.css HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:41:12 +0900] "GET /railro/css/layout.css HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:29:27 +0900] "GET /railro/ HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:29:27 +0900] "GET /railro/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:29:27 +0900] "GET /railro/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:30:15 +0900] "GET /railro/ HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:30:15 +0900] "GET /railro/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:30:15 +0900] "GET /railro/css/layout.css HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:31:13 +0900] "GET /railro/ HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:31:13 +0900] "GET /railro/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:31:13 +0900] "GET /railro/css/layout.css HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:39:12 +0900] "GET /railro/ HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:39:12 +0900] "GET /railro/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:39:12 +0900] "GET /railro/css/layout.css HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:39:12 +0900] "GET /railro/css/reset.css HTTP/1.1" 200 1050
